Issue Number,Title,State,Comments,Created At,Closed At
6246,Copy py_limited_api attribute of setuptools extension,open,0,2024-06-13,N/A
6245,[BUG] Issue after upgrading to Cython 3.0.10,open,2,2024-06-13,N/A
6244,[BUG] Use of `Py_LIMITED_API` sometimes results in references to nonexistent `PyTuple_SET_ITEM` function,closed,3,2024-06-12,2024-06-12
6243,Add option to silence IF deprecation warning,open,1,2024-06-12,N/A
6242,Add freethreading_compatible directive to set Py_mod_gil slot,open,1,2024-06-12,N/A
6241,Pre-clean docstrings when running EmbedSignature transform,closed,2,2024-06-12,2024-06-12
6240,`classmethod` object is distorted when is an attribute of a class,open,1,2024-06-12,N/A
6239,[ENH] Add a way to set Py_mod_gil slot for modules defined in cython,open,5,2024-06-11,N/A
6238,[BUG] Misleading exception for error in inheritance,open,0,2024-06-11,N/A
6237,Fix use of __Pyx_TEST_large_func_pointers,open,0,2024-06-11,N/A
6236,[BUG] : compilation failure due to `__Pyx_TEST_large_func_pointers`,open,1,2024-06-10,N/A
6235,Always treat cppclasses in C++ mode,open,0,2024-06-09,N/A
6234,Add sanity check on import for ABI details,open,0,2024-06-09,N/A
6233,Remove some more unused Py2 stuff,closed,1,2024-06-09,2024-06-09
6232,[BUG] FileNotFoundError Lib\site-packages\Cython\Utility\StringTools.c,open,2,2024-06-08,N/A
6231,"[BUG] `ctuple` declaration on inherited membed function when parent class imported `.pxd` yields ""Signature not compatible with previous declaration"" error",open,0,2024-06-07,N/A
6230,Fix segfault on zero-length slice assignment on memoryview,closed,5,2024-06-04,2024-06-06
6229,Set up uploading non-compiled nightly wheels twice weekly,closed,9,2024-06-04,2024-06-07
6228,[BUG] deleted copy constructor mistakenly invoked with Cython 3.x (but worked with Cython 0.29.x),open,2,2024-06-04,N/A
6227,[BUG] Segfault on zero-length slice assignment on memoryview,closed,5,2024-06-03,2024-06-06
6226,Freethreading thread safety,open,4,2024-06-01,N/A
6225,[BUG] unexpected elision warning assigning result of a function to a member,open,0,2024-06-01,N/A
6224,fix: `cythonize -i src/` command in python3.12,closed,1,2024-05-31,2024-05-31
6223,Start uploading nightly wheels,closed,3,2024-05-30,2024-06-07
6222,[BUG] Using decorator for asynchronous function,closed,1,2024-05-30,2024-05-31
6221,Rough plan for free-threading thread safety,open,6,2024-05-29,N/A
6220,Codespell currently failing on CI,closed,1,2024-05-28,2024-05-28
6219,[DON'T MERGE DON'T MERGE JUST TESTING CODESPELL],closed,0,2024-05-27,2024-05-27
6218,"[BUG] Possible regression on master branch, __class__ not available in class body during cythonize",closed,4,2024-05-27,2024-05-27
6217,Set up CI for the free threaded build,closed,3,2024-05-27,2024-05-27
6216,[BUG] Unnecessary refnanny gil handling in __init__/__del__ (and maybe other slots),closed,1,2024-05-27,2024-05-28
6215,Lock memoryviewslice struct in free-threading mode,open,0,2024-05-26,N/A
6214,[don't merge...] Add thread-safety to some reference counting,closed,2,2024-05-26,2024-05-27
6213,"Rename to ""CYTHON_COMPILING_IN_CPYTHON_FREETHREADING""",closed,1,2024-05-23,2024-05-23
6212,[BUG] Function pointer casting not working properly,open,1,2024-05-23,N/A
6211,[BUG] cython to C translation error on array of structs as struct field,open,2,2024-05-22,N/A
6210,Freethreading to nogil,closed,0,2024-05-22,2024-05-23
6209,[3.0.X] Fix crash when function contains fused extension type,closed,1,2024-05-21,2024-05-25
6208,[BUG] Nested double quotes supported by python 3.12 not supported in cython,closed,1,2024-05-21,2024-05-21
6207,[BUG] Seg-fault calling class method accessing object member on class object,closed,1,2024-05-21,2024-05-21
6206,Adds support for `typing.Union`,open,9,2024-05-20,N/A
6205,Add warning about thread safety in free-threading Python,open,2,2024-05-20,N/A
6204,Fix crash when function contains fused extension type,closed,0,2024-05-19,2024-05-21
6203,[BUG] Invalid C code from simple parallel example,closed,1,2024-05-19,2024-05-22
6202,[BUG] Large pyqt file causes compile to stall [Mac OS arm],closed,9,2024-05-18,2024-05-19
6201,DOC: recommend not distributing generated code,closed,4,2024-05-16,2024-05-17
6200,[BUG] Test test_parallel_numpy_arrays fails on 32bits with Cython 3.0.10 and numpy 1.26.0 ,open,0,2024-05-14,N/A
6199,Try to improve parallel in free-threading,closed,5,2024-05-14,2024-05-22
6198,prange/OpenMP issues under the free-threading CPython build,open,10,2024-05-13,N/A
6197,Add operator-equal operators,open,2,2024-05-13,N/A
6196,Handle typedefs in ufuncs,open,0,2024-05-12,N/A
6195,Fix PyInteger / float division,open,3,2024-05-12,N/A
6194,"[BUG] Unknown object types PyComplexObject, incomplete types PyTypeObject, PyLongObject when use -DCYTHON_LIMITED_API",closed,2,2024-05-11,2024-05-11
6193,Fix arg=str() default argument,open,2,2024-05-10,N/A
6192,[BUG] Possible regression in handling of default function arguments,open,3,2024-05-10,N/A
6191,Handling of Python element access in free-threading Python,open,4,2024-05-09,N/A
6190,Mark `libcpp.optional.optional.value()` as `except +`,closed,1,2024-05-08,2024-05-09
6189,[BUG] Build dependency that is NOT a runtime compulsory dependency,open,7,2024-05-08,N/A
6188,remove unused include pycore_frame,closed,5,2024-05-07,2024-05-09
6187,Py3.13 support in cpython/time.pxd,closed,1,2024-05-07,2024-05-13
6186,Coverage measurement of Cython code in a meson build,open,18,2024-05-06,N/A
6185,[BUG] Cannot cythonize C++ source if function isn't explicitly used in a new Python function in the same file,open,0,2024-05-06,N/A
6184,source code string cannot contain null bytes,open,2,2024-05-06,N/A
6183,[BUG] Cython master crashes analysing division of int by float,open,3,2024-05-05,N/A
6182,Test runner: Python 3.13 removes unittest.findTestCase,closed,2,2024-05-05,2024-05-05
6181,Documentation of old buffer syntax options,closed,0,2024-05-04,2024-05-11
6180,Update documentation refcounting example,closed,1,2024-05-04,2024-05-11
6179,Call `__set_name__` during setting type attribute.,closed,1,2024-05-03,2024-05-05
6178,Avoid thread unsafe borrowed references under free-threading,open,5,2024-05-03,N/A
6177,[Docs] Document examples of arrays of pointers and pointer to array,closed,0,2024-05-02,2024-05-03
6176,[BUG] Random Segfault,closed,19,2024-05-02,2024-05-03
6175,Warn on use of the old Py2 buffer protocol,closed,1,2024-05-01,2024-05-02
6174,[BUG] removal of old-style buffer special methods breaks pyarrow on py313,closed,1,2024-05-01,2024-05-02
6173,[ERROR] Failing to add third party python libraries to final build,closed,1,2024-05-01,2024-05-06
6172,[BUG] Building executable with GCC fails,closed,3,2024-04-30,2024-04-30
6171,[3.0.x] Fix type of str call,open,0,2024-04-29,N/A
6170,[ENH] Add cythonrun (and other runnables) to entry points,open,0,2024-04-29,N/A
6169,string/iter/shutdown limited API fixes,open,1,2024-04-28,N/A
6168,Fix bytes startswith/endswith with nonbytes argument,closed,1,2024-04-28,2024-05-02
6167,Categorise memoryview tests,closed,0,2024-04-28,2024-05-16
6166,[BUG] Cannot be executed without any error message.,open,8,2024-04-28,N/A
6165,[BUG] Wrong Warning,open,2,2024-04-26,N/A
6164,Split CYTHON_AVOID_BORROWED_REFS into two levels?,open,1,2024-04-25,N/A
6163,Fix CPython and AVOID_BORROWED_REFS,open,0,2024-04-25,N/A
6162,[ENH] Support for the nogil branch of Python,open,11,2024-04-24,N/A
6161,[BUG] numpy types cannot be used for ufunc arguments,open,1,2024-04-24,N/A
6160,[ENH] Add back documentation about byte order / endianness documentation ,open,3,2024-04-24,N/A
6159,Updated deque.pxd to include two functions from C++11,closed,6,2024-04-24,2024-04-26
6158,Updated deque.pxd to include two functions from C++11,closed,0,2024-04-24,2024-04-24
6157,Remove forgotten debug prints,closed,1,2024-04-23,2024-04-25
6156,[BUG] Cannot compile template class with rebinding function,open,0,2024-04-23,N/A
6155,Default-enable two build options for the nogil build,closed,4,2024-04-22,2024-04-23
6154,[ENH] Fix test failures and crashes in the nogil python build.,open,4,2024-04-22,N/A
6153,Always skip the multithreadded common_include_dir test on MacOS,open,0,2024-04-22,N/A
6152,Add bindings for Py_REFCNT and use it in tests and docs,closed,7,2024-04-22,2024-04-25
6151,[BUG] Can't debug,closed,0,2024-04-22,2024-04-22
6150,[3.0] Do not set exception_check if already set during analyzing pxd file,closed,5,2024-04-21,2024-05-02
6149,Use FileNotFoundError instead of OSError,closed,1,2024-04-20,2024-04-21
6148,[BUG] rshift overflow,open,0,2024-04-19,N/A
6147,Enable vectorcall on nogil build,closed,3,2024-04-18,2024-04-18
6146,Pickling Error for Pyspark UDF function while using decorator.,closed,4,2024-04-18,2024-04-18
6145,[BUG] C Macro not populating value!,closed,7,2024-04-18,2024-04-18
6144,Implement PEP-669 sys.monitoring support,open,0,2024-04-17,N/A
6143,Update examples to language lvl 3,closed,0,2024-04-13,2024-05-04
6142,[BUG] Posix `time_t` isn't always `long`,open,8,2024-04-11,N/A
6141,[BUG] Passing argument into `__cinit__` with no argument raises nothing?,closed,4,2024-04-10,2024-04-10
6140,Docs: Fix string examples,closed,0,2024-04-10,2024-04-11
6139,Docs: Fix example manual work in parallelization,closed,1,2024-04-10,2024-04-11
6138,[BUG] 3.0.10: test suite fails in `End-to-end coverage_cmd_src_pkg_layout` unit with `coverage` 7.4.4,open,0,2024-04-09,N/A
6137,Update module setup code for free-threaded CPython,closed,11,2024-04-08,2024-04-18
6136,Limited API fixes based on compile tests,open,1,2024-04-07,N/A
6135,[0.29.x] Fix Python 3.12 tests,open,0,2024-04-07,N/A
6134,[ENH/BUG?] Enum as C array index value: Invalid index type 'Test',open,1,2024-04-07,N/A
6133,Fix typo in defaults-as-class,closed,0,2024-04-06,2024-04-07
6132,Create standalone cython runtime module package,open,3,2024-04-06,N/A
6131,Remove unused function from Parsing.py,closed,0,2024-04-06,2024-04-06
6130,Fix refcounting of default arguments with CYTHON_AVOID_BORROWED_REFS,open,3,2024-04-06,N/A
6129,[ENH] Compilation does not support importing cython module from another module,open,4,2024-04-06,N/A
6128,[ENH] Allow customization of cpdef enum to Py conversions,open,0,2024-04-06,N/A
6127,[ENH] Restrict instance methods on extension types to the actual type,open,2,2024-04-04,N/A
6126,[ENH] Can Cython support match statement in Python?,closed,1,2024-04-03,2024-04-03
6125,Ignore the profile directive on 3.12 and above.,open,5,2024-04-02,N/A
6124,Do not set exception_check if already set during analyzing pxd file,closed,3,2024-04-02,2024-04-21
6123,[BUG] New string::replace in Cython 3.0.9 feature overrides the bytes.replace method,open,5,2024-04-01,N/A
6122,[BUG] 'except?' started failing in 3.0.10,closed,16,2024-04-01,2024-04-21
6121,[ENH] Implement __Pyx_PyObject_LengthHint properly on the limited API,open,1,2024-04-01,N/A
6120,Fix missing flow control for assignment expression,open,0,2024-04-01,N/A
6119,"[3.0.x] Modified ""pretend_to_initialize"" for c++ (#5920)",open,0,2024-03-31,N/A
6118,[ENH] Reproducible output,open,0,2024-03-31,N/A
6117,Refactor of Cache.py,closed,3,2024-03-30,2024-04-06
6116,[ENH] Improve Cython install speed from source,closed,4,2024-03-30,2024-03-30
6115,Add tests to cover Node analyse expressions,closed,1,2024-03-29,2024-04-02
6114,"[bug] issues with ""cppclass overloadable methods""",open,2,2024-03-28,N/A
6113,"[BUG] Multi-line f-string literals do not adhere to """"""\ syntax",open,1,2024-03-24,N/A
6112,"Tidy up of ""overloaded c++ methods""",open,0,2024-03-24,N/A
6111,[3.0.x] Fix c++ complex double_proj test,closed,2,2024-03-24,2024-03-27
6110,CI: Pin Numpy<2 in test dependencies.,closed,0,2024-03-24,2024-03-27
6109,Fix broken rendering of PEP link,closed,1,2024-03-23,2024-03-23
6108,Make C++ conversion lengthhint limited-api friendly,closed,1,2024-03-23,2024-04-01
6107,[BUG]  Deadlock in OpenMP Parallel Loop When Invoking LAPACK Functions in Cython>=3.0,closed,4,2024-03-22,2024-03-24
6106,[BUG] cppclass inheritance does not work with overloaded methods,closed,3,2024-03-22,2024-03-23
6105,3.0.x fix legacy_implicit_noexcept tests,closed,2,2024-03-22,2024-03-22
